student	Car	exciting	dependable	luxurious	outdoorsy	powerful	stylish	comfortable	rugged	fun	safe	performance	family	versatile	sports	status	practical	discipline
1069	3	3	4	4	1	3	4	4	1	4	4	3	3	4	3	5	4	1
1070	4	4	4	4	3	5	3	3	4	4	4	3	3	4	3	3	3	0
1071	5	4	3	4	2	4	4	4	1	4	4	4	3	3	3	4	3	0
1072	6	1	4	3	2	3	2	4	2	2	5	3	5	4	1	2	5	1
1073	7	4	5	5	1	5	5	5	3	5	5	5	2	2	3	5	2	0
1074	8	4	4	4	1	3	4	3	1	4	4	4	3	3	3	4	3	0
1075	9	5	4	4	4	5	5	4	4	5	4	5	2	3	5	5	2	1
1076	10	2	5	4	4	3	2	3	3	2	5	4	5	4	2	4	4	1
1077	1	3	4	4	2	3	3	3	2	3	4	4	2	2	4	4	3	0
1078	2	3	2	3	4	3	3	3	4	4	4	2	3	4	4	3	3	0
1079	3	2	4	5	1	3	3	4	1	2	4	3	5	2	1	4	4	1
1080	4	4	4	5	4	5	5	5	4	5	4	4	4	4	4	5	4	0
1081	5	5	5	5	2	4	5	4	1	4	4	4	4	4	4	4	4	0
1082	6	3	3	3	3	3	3	3	3	2	3	2	4	2	2	2	3	0
1083	7	3	4	4	2	4	4	4	4	4	5	4	4	3	3	4	3	0
1084	8	4	3	4	3	5	3	3	3	4	3	4	3	3	4	4	3	0
1085	9	5	3	2	3	5	5	2	3	5	2	5	1	2	5	5	1	0
1086	10	1	5	4	3	3	2	4	3	3	5	4	5	5	3	4	4	1
1087	1	4	5	4	2	4	5	4	2	4	4	5	3	2	3	5	4	1
1088	2	3	4	3	5	4	3	4	5	4	4	3	4	4	2	3	4	0
1089	3	3	5	5	2	4	4	4	3	4	4	4	4	3	3	5	4	0
1090	4	4	4	4	5	5	3	3	5	4	3	2	3	4	5	3	3	1
1091	5	3	5	5	1	3	3	4	2	2	4	3	3	2	2	4	3	1
1092	6	1	4	1	2	2	1	3	2	1	4	1	5	3	1	1	3	1
1093	7	3	5	5	1	3	4	4	3	4	4	4	3	3	3	4	2	0
1094	8	5	2	4	2	4	5	4	3	5	4	5	4	4	5	5	4	1
1095	9	5	2	3	3	5	5	2	2	5	2	5	1	1	5	4	1	1
1096	10	1	5	3	2	4	2	5	2	2	5	5	5	4	2	3	5	1
1097	1	4	3	3	3	4	4	4	3	4	4	4	3	3	4	4	3	1
1098	2	3	4	3	5	4	3	4	4	3	4	4	4	4	3	3	5	1
1099	3	4	4	4	1	4	4	5	1	4	4	4	1	3	4	4	3	0
1100	4	3	1	2	4	3	3	3	3	2	3	3	5	4	3	3	4	0
1101	5	4	5	5	1	5	5	5	1	4	4	5	3	3	3	5	3	0
1102	6	1	3	2	1	2	1	2	1	1	2	1	4	1	1	1	3	0
1103	7	4	5	5	2	4	5	5	1	3	5	5	4	2	2	5	4	1
1104	8	4	2	5	1	4	4	4	2	4	4	4	4	2	4	4	3	0
1105	9	4	4	3	2	4	4	2	4	5	4	4	1	2	5	4	1	1
1106	10	2	4	3	1	3	3	4	1	2	5	2	4	4	1	3	4	1
1107	1	4	4	4	2	3	3	4	2	4	4	4	3	4	2	4	3	0
1108	2	3	3	2	5	3	2	3	5	3	3	1	4	4	2	2	5	0
1109	3	2	4	3	1	3	4	4	1	4	4	4	4	3	2	3	4	1
1110	4	3	2	1	5	3	2	3	4	4	4	3	4	3	4	2	3	1
1111	5	2	5	4	2	3	3	4	2	3	4	3	4	1	3	4	4	0
1112	6	1	2	2	2	2	1	3	1	1	3	1	5	5	1	2	5	1
1113	7	3	5	5	2	3	4	4	3	3	5	3	4	2	3	5	3	0
1114	8	4	4	4	4	5	5	4	3	5	5	5	4	4	3	4	4	0
1115	9	5	4	4	3	4	4	4	3	5	3	4	1	1	5	5	1	1
1116	10	1	3	1	1	1	1	1	1	2	2	2	5	2	4	1	5	0
1117	1	4	3	3	3	4	4	3	2	4	3	3	2	2	4	5	3	1
1118	2	2	3	3	5	4	3	4	5	3	4	2	3	4	2	4	2	0
1119	3	2	3	3	1	2	2	3	1	3	3	3	3	2	1	2	3	1
1120	4	4	5	3	5	4	3	4	5	5	4	4	5	4	5	3	5	0
1121	5	2	4	4	1	4	4	4	2	4	4	4	4	2	2	4	3	0
1122	6	2	4	1	3	1	1	3	2	1	3	1	5	4	2	2	4	0
1123	7	3	5	4	1	3	3	4	1	3	5	3	4	3	3	4	4	1
1124	8	3	3	3	3	3	4	4	3	4	4	4	3	3	4	3	3	0
1125	9	4	2	2	1	5	4	2	1	5	2	5	1	1	5	5	1	0
1126	10	1	4	2	3	4	1	4	2	1	5	4	5	4	2	3	4	1
1127	1	4	3	4	2	4	5	4	1	5	3	5	2	3	4	5	3	0
1128	2	3	4	2	5	3	3	4	4	4	4	2	5	2	2	2	4	1
1129	3	3	4	4	1	3	3	4	1	3	4	4	3	2	2	4	3	1
1130	4	2	3	4	5	5	4	5	5	3	4	3	4	5	4	4	4	0
1131	5	4	5	5	1	4	4	5	2	4	4	4	4	3	3	4	5	1
1132	6	2	3	2	3	2	2	3	2	2	3	1	4	3	2	1	2	1
1133	7	4	5	5	3	4	5	5	1	4	5	5	3	3	3	5	4	0
1134	8	5	3	3	3	5	4	4	3	5	5	5	3	3	4	3	3	0
1135	9	5	4	4	3	4	5	4	3	5	5	5	1	1	5	5	2	0
1136	10	3	4	4	3	4	3	4	4	3	5	3	5	3	3	3	4	0
1137	1	4	5	4	2	4	5	3	2	4	4	5	3	2	4	5	2	1
1138	2	4	4	4	5	4	4	4	5	4	3	3	4	4	3	3	4	1
1139	3	3	2	3	1	3	3	4	1	3	3	3	3	2	2	2	3	0
1140	4	4	4	4	5	5	4	4	5	4	4	5	5	5	5	4	4	0
1141	5	2	5	5	1	2	5	5	1	2	4	4	3	1	1	5	4	0
1142	6	1	5	4	2	3	2	5	1	5	3	1	5	4	1	4	5	1
1143	7	3	5	5	1	4	4	4	1	4	4	5	2	4	2	5	3	1
1144	8	3	5	3	3	5	2	4	3	4	4	5	5	4	3	2	3	0
1145	9	5	3	1	5	5	5	3	4	5	3	5	1	3	5	5	3	1
1146	10	2	4	3	3	2	3	4	3	2	5	2	5	4	2	3	4	0
1147	1	4	4	5	1	4	5	4	1	4	4	4	2	3	2	4	5	0
1148	2	3	3	3	5	4	4	4	5	4	4	4	4	5	5	4	4	1
1149	3	2	3	4	2	4	3	4	1	2	4	3	3	2	2	3	3	0
1150	4	4	3	2	5	4	4	3	5	3	3	2	4	4	4	3	5	0
1151	5	3	3	3	3	3	3	3	1	3	3	3	3	3	1	3	3	1
1152	6	2	3	2	3	3	1	3	1	1	4	1	5	2	1	2	4	1
1153	7	3	3	4	2	4	4	4	2	3	3	4	3	2	4	4	3	1
1154	8	2	1	1	1	4	1	3	1	3	3	3	3	3	3	2	4	1
1155	9	5	2	5	4	5	5	2	2	5	2	3	1	2	5	5	2	0
1156	10	2	4	4	1	3	3	4	2	3	5	3	5	5	3	4	5	0
1157	1	3	4	5	1	4	5	4	1	4	4	5	1	3	1	5	2	1
1158	2	3	4	2	5	4	3	4	2	3	4	2	3	4	2	2	4	0
1159	3	3	3	5	3	4	3	5	3	3	5	4	5	3	3	5	3	1
1160	4	3	3	3	5	4	2	4	4	3	4	3	4	4	3	3	4	0
1161	5	3	4	4	2	3	4	4	2	2	4	3	4	2	2	3	2	0
1162	6	1	4	1	2	2	1	3	2	1	4	2	5	4	1	1	4	0
1163	7	4	5	5	3	4	4	4	3	4	5	4	3	3	4	4	3	0
1164	8	4	3	3	2	3	4	3	2	4	3	4	3	3	4	4	2	1
1165	9	4	3	4	3	3	5	3	2	4	2	4	2	2	5	5	2	1
1166	10	1	5	2	2	3	1	2	2	2	5	2	5	3	2	2	4	1
1167	1	4	3	2	2	2	4	3	2	5	3	3	3	3	4	3	3	1
1168	2	3	3	3	4	3	3	3	4	2	3	2	5	5	2	3	5	1
1169	3	4	4	4	2	4	4	3	2	4	3	4	3	3	4	5	3	1
1170	4	3	3	4	4	3	5	4	3	3	3	3	5	4	3	4	4	1
1171	5	3	3	4	1	3	3	4	2	3	4	3	3	2	3	4	2	0
1172	6	1	1	1	3	1	1	3	1	1	1	1	3	1	1	1	1	1
1173	7	2	4	5	1	4	2	4	2	2	4	4	3	3	4	4	3	0
1174	8	3	3	3	3	4	3	3	3	3	4	4	4	4	3	3	4	1
1175	9	5	2	3	2	5	5	1	1	5	2	5	1	2	5	5	2	0
1176	10	2	4	2	2	2	2	4	1	2	4	3	5	3	2	3	4	0
1177	1	2	3	3	1	2	3	3	1	3	3	4	2	3	2	4	3	1
1178	2	4	4	3	5	4	4	4	5	5	4	4	4	4	4	4	4	1
1179	3	4	4	4	2	5	4	4	3	4	3	4	3	3	4	4	3	0
1180	4	4	4	3	5	4	4	3	5	4	4	3	5	4	5	4	4	0
1181	5	3	5	4	3	3	3	3	3	3	4	4	3	3	3	4	3	0
1182	6	2	3	2	3	3	1	4	3	2	4	2	5	3	1	3	4	1
1183	7	5	5	4	1	4	4	4	1	4	4	4	3	3	2	3	3	0
1184	8	4	4	3	3	4	3	3	3	4	3	3	2	3	3	3	3	1
1185	9	5	4	4	3	5	5	4	3	5	3	5	1	2	5	5	2	1
1186	10	1	4	3	2	3	1	5	3	1	5	4	5	3	1	3	5	0
1187	1	5	5	4	2	5	4	5	1	5	4	5	3	3	4	5	4	0
1188	2	3	4	3	5	4	3	4	5	4	4	3	4	4	5	3	3	1
1189	3	4	3	4	1	3	3	3	1	4	2	4	2	3	4	3	4	0
1190	4	4	4	3	5	4	2	4	5	4	3	3	5	5	4	2	5	1
1191	5	3	5	5	3	4	4	5	1	4	5	5	3	3	3	5	3	1
1192	6	2	3	3	2	3	3	4	3	3	3	3	5	3	2	2	4	0
1193	7	3	5	4	2	4	4	4	1	5	4	4	4	3	3	4	4	1
1194	8	4	3	4	3	4	5	4	2	4	4	4	2	2	5	3	3	0
1195	9	5	3	4	2	5	5	2	2	5	1	5	2	2	5	4	1	1
1196	10	2	5	3	3	4	4	4	2	2	5	3	3	3	3	3	5	0
1197	1	2	2	3	3	3	3	3	2	4	3	3	2	2	4	3	1	0
1198	2	3	3	3	5	4	2	3	3	4	4	3	4	1	3	1	2	0
1199	3	4	4	5	1	5	5	5	1	5	5	5	4	2	2	5	3	0
1200	4	3	3	3	5	4	4	4	4	4	3	3	5	5	4	4	5	0
1201	5	4	4	5	2	4	5	5	2	4	4	4	4	3	3	5	5	0
1202	6	1	3	3	3	2	2	3	3	1	4	2	5	2	1	2	3	0
1203	7	2	1	4	1	2	2	4	1	3	5	3	1	1	3	5	2	1
1204	8	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	0
1205	9	5	4	4	4	5	4	4	3	5	4	5	2	3	5	5	2	0
1206	10	3	5	2	3	3	3	4	4	3	5	3	5	3	2	4	4	1
1207	1	4	5	4	3	4	5	5	4	5	5	4	3	3	4	5	5	1
1208	2	4	4	2	5	4	4	5	5	5	5	4	4	5	5	5	5	0
1209	3	4	3	3	2	4	4	3	3	4	3	4	2	3	4	3	2	1
1210	4	4	5	3	5	5	3	4	5	3	4	3	5	5	3	4	5	1
1211	5	5	5	5	3	4	4	4	3	5	4	4	3	3	3	4	4	1
1212	6	2	4	3	1	3	2	4	1	1	3	2	5	4	1	2	5	0
1213	7	3	4	3	2	3	3	3	1	4	4	4	4	3	3	3	3	1
1214	8	4	3	4	2	5	4	4	2	5	4	5	3	3	5	4	2	0
1215	9	5	3	3	2	5	5	3	2	5	3	5	1	3	5	4	2	0
1216	10	1	5	1	1	1	2	2	2	1	2	1	3	1	1	1	2	0
1217	1	3	3	4	2	3	4	4	2	4	3	4	2	4	4	4	3	0
1218	2	4	4	4	5	5	4	4	5	5	5	3	3	4	4	3	4	1
1219	3	2	4	3	2	3	2	3	2	1	3	2	3	2	2	1	3	1
1220	4	3	4	2	5	3	4	5	3	2	5	3	5	3	2	3	5	1
1221	5	3	3	4	1	3	4	4	1	4	3	4	2	2	1	5	2	1
1222	6	1	3	2	3	2	1	4	2	1	3	1	5	4	1	2	4	1
1223	7	3	4	4	2	3	4	5	2	4	5	4	4	4	3	4	4	1
1224	8	4	2	4	2	3	3	4	2	3	3	3	4	4	3	3	3	1
1225	9	5	4	5	5	5	5	4	2	5	3	5	1	2	4	5	3	1
1226	10	2	4	3	3	3	2	4	3	2	5	3	5	4	2	3	4	1
1227	1	4	2	4	1	4	5	5	1	4	3	5	3	2	2	5	4	1
1228	2	3	4	3	5	4	4	5	5	3	4	3	4	4	4	4	3	1
1229	3	3	4	5	1	4	4	4	1	4	4	4	2	2	2	5	1	1
1230	4	2	3	1	3	2	1	3	3	1	2	1	2	3	3	1	3	1
1231	5	3	5	4	2	4	2	4	2	4	4	3	4	2	2	3	4	1
1232	6	2	4	2	3	5	2	4	4	2	5	4	5	4	3	3	4	1
1233	7	5	5	5	1	5	5	5	1	5	5	5	5	3	1	5	5	1
1234	8	3	3	3	3	4	3	3	3	3	3	4	3	3	3	3	3	0
1235	9	5	3	5	3	5	5	3	3	5	3	5	1	3	5	5	2	0
1236	10	3	5	3	4	4	2	3	3	3	5	3	5	2	1	4	5	1
1237	1	4	4	5	2	3	5	4	3	3	3	4	2	3	5	5	2	1
1238	2	3	4	2	4	4	2	3	4	3	4	3	4	4	3	2	5	0
1239	3	1	3	3	1	3	3	3	1	3	3	2	4	3	2	3	3	0
1240	4	4	4	3	5	4	4	3	4	5	4	3	4	4	3	4	4	1
1241	5	4	5	5	2	5	5	5	3	5	5	5	3	3	3	5	3	1
1242	6	1	4	1	2	3	1	4	3	2	4	1	5	3	1	1	5	1
1243	7	4	5	5	1	4	4	4	4	3	5	4	3	3	3	5	3	0
1244	8	4	4	3	2	5	4	3	2	5	2	5	1	2	4	5	2	1
1245	9	5	4	4	4	5	5	3	4	5	1	5	1	1	5	5	1	0
1246	10	2	5	2	3	3	3	4	3	3	5	3	5	4	3	3	4	1
1247	1	4	4	4	3	4	4	3	2	5	3	4	3	4	3	4	4	1
1248	2	4	4	2	5	4	3	4	4	4	4	1	4	4	2	4	4	0
1249	3	4	3	4	1	3	4	4	1	4	4	3	3	3	3	4	3	1
1250	4	4	1	1	5	5	5	3	5	5	3	2	2	5	5	4	4	0
1251	5	3	3	5	1	4	5	4	1	3	4	4	3	2	1	4	1	0
1252	6	1	3	2	1	1	1	3	1	1	3	1	5	2	1	1	5	0
1253	7	5	5	5	4	5	5	5	3	5	5	5	4	4	4	5	4	0
1254	8	4	4	4	1	4	4	4	1	4	4	4	3	4	4	5	3	0
1255	9	5	1	5	4	4	4	2	2	5	1	5	1	1	5	5	1	1
1256	10	1	3	3	3	3	3	4	2	1	5	3	5	4	1	3	5	1
1257	1	4	3	4	1	3	5	4	1	5	3	4	1	2	4	5	3	1
1258	2	5	4	3	5	5	4	4	5	5	4	1	4	3	4	4	3	0
1259	3	4	3	4	2	3	4	4	2	4	3	4	4	3	4	4	4	0
1260	4	4	3	4	4	3	2	4	2	4	4	4	4	2	1	4	3	0
1261	5	3	4	5	2	3	4	4	2	3	4	4	3	3	2	5	3	0
1262	6	2	3	3	4	2	1	5	3	2	4	2	5	3	2	2	3	0
1263	7	3	5	4	1	3	5	5	4	4	5	4	3	4	3	4	2	1
1264	8	4	4	5	4	4	4	4	3	4	4	4	3	3	2	4	3	0
1265	9	5	5	5	5	5	5	5	3	5	4	4	1	3	5	5	4	0
1266	10	3	5	4	4	4	3	4	2	3	5	4	4	4	4	4	5	1
1267	1	4	2	4	1	4	5	5	1	5	4	5	2	2	4	5	2	1
1268	2	4	3	3	3	3	2	4	3	5	4	3	3	3	3	3	3	1
1269	3	2	3	3	2	3	3	4	1	2	3	3	4	3	2	3	3	1
1270	4	4	3	4	5	3	4	4	5	4	3	3	4	5	4	3	4	1
1271	5	3	5	4	2	5	4	4	2	3	4	4	4	3	3	4	3	0
1272	6	1	4	4	2	2	2	4	2	2	5	2	5	5	2	1	4	1
1273	7	5	5	5	4	5	5	5	4	5	5	5	4	4	5	5	4	1
1274	8	2	2	2	2	2	2	2	2	2	3	2	3	2	2	2	3	0
1275	9	5	3	4	2	4	4	3	2	5	3	4	2	2	5	4	2	0
1276	10	1	5	4	3	4	2	4	2	1	5	4	5	4	1	3	5	1
1277	1	4	4	3	4	4	3	3	3	3	4	4	3	3	2	3	4	0
1278	2	3	2	3	4	4	3	3	4	4	2	3	4	4	4	2	4	1
1279	3	3	5	4	2	3	2	4	1	3	5	3	4	3	2	2	3	0
1280	4	3	4	3	4	3	3	3	4	3	4	3	4	4	4	3	5	1
1281	5	3	4	4	3	4	4	4	3	3	4	3	4	3	1	3	3	1
1282	6	1	4	2	1	2	1	3	1	1	3	1	5	4	1	1	5	1
1283	7	3	5	4	3	2	3	5	3	3	5	5	5	4	2	5	4	1
1284	8	3	3	2	2	3	2	2	4	3	4	4	3	3	4	3	3	1
1285	9	5	4	3	4	4	4	3	2	5	3	5	1	2	5	5	2	1
1286	10	1	1	1	1	1	1	1	1	1	4	3	5	1	1	3	3	0
1287	1	5	3	4	2	3	4	3	3	5	3	4	2	2	4	5	3	0
1288	2	1	2	2	5	5	2	4	4	2	3	1	4	4	3	2	1	1
1289	3	5	5	4	3	4	5	5	4	5	5	4	4	4	3	3	4	1
1290	4	3	1	3	4	3	1	5	3	3	3	1	4	5	3	1	4	0
1291	5	4	4	4	2	4	5	5	2	4	4	4	4	3	3	4	4	1
1292	6	1	2	1	1	1	1	2	1	1	3	1	5	5	1	1	5	1
1293	7	4	5	5	3	5	5	5	1	5	5	5	5	4	3	5	3	0
1294	8	3	4	4	4	4	2	4	3	4	5	4	3	3	3	3	3	1
1295	9	5	4	5	5	5	5	3	4	5	4	5	2	4	5	5	3	0
1296	10	1	4	2	1	2	2	3	2	1	5	3	5	1	2	2	5	0
1297	1	4	4	5	1	3	4	4	1	4	4	4	1	1	2	4	3	0
1298	2	4	4	4	5	4	4	4	5	5	4	4	4	5	5	4	5	1
1299	3	2	4	4	1	4	4	4	1	3	4	4	4	2	2	3	4	0
1300	4	5	4	3	5	4	4	3	5	5	4	3	3	4	5	3	3	1
1301	5	4	4	3	2	2	4	4	1	4	4	3	3	3	1	3	1	1
1302	6	1	3	1	2	2	1	3	1	1	2	1	5	3	1	1	5	0
1303	7	4	3	5	3	4	4	4	3	4	4	3	3	3	3	4	3	1
